DATE,PRCP,SNWD,SNOW,TMAX,TMIN
20150601,0.72,0,0,58,51
20150602,0.37,0,0,55,50
20150603,0,0,0,70,52
20150604,0,0,0,65,54
20150605,0.13,0,0,70,55
20150606,0.19,0,0,76,60
20150607,0,0,0,74,55
20150608,0.06,0,0,79,63
20150609,0.01,0,0,83,68
20150610,0,0,0,82,65
20150611,0,0,0,89,72
20150612,0,0,0,88,73
20150613,0,0,0,86,72
20150614,0.36,0,0,88,66
20150615,0.57,0,0,83,64
20150616,0.27,0,0,79,65
20150617,0,0,0,82,66
20150618,0,0,0,71,64
20150619,0,0,0,87,68
20150620,0,0,0,75,64
20150621,0.64,0,0,88,71
20150622,0,0,0,87,70
20150623,0.02,0,0,90,75
20150624,0,0,0,84,68
20150625,0,0,0,83,65
20150626,0,0,0,81,69
20150627,1.12,0,0,71,58
20150628,0.29,0,0,73,62
20150629,0,0,0,76,63
20150630,0.04,0,0,82,68
20150701,0.39,0,0,82,69
20150702,0,0,0,80,69
20150703,0,0,0,82,66
20150704,0,0,0,75,69
20150705,0,0,0,83,68
20150706,0,0,0,83,72
20150707,0.12,0,0,88,75
20150708,0,0,0,88,77
20150709,0.3,0,0,79,68
20150710,0,0,0,84,72
20150711,0,0,0,88,69
20150712,0,0,0,89,72
20150713,0,0,0,88,73
20150714,0.42,0,0,82,73
20150715,0.12,0,0,81,72
20150716,0,0,0,80,64
20150717,0,0,0,81,67
20150718,0.32,0,0,85,71
20150719,0,0,0,93,78
20150720,0,0,0,94,82
20150721,0,0,0,89,74
20150722,0,0,0,85,69
20150723,0,0,0,86,68
20150724,0,0,0,87,70
20150725,0,0,0,88,69
20150726,0,0,0,90,74
20150727,0.36,0,0,86,71
20150728,0,0,0,95,75
20150729,0,0,0,96,78
20150730,1.95,0,0,87,76
20150731,0,0,0,89,72
20150801,0,0,0,89,75
20150802,0,0,0,89,71
20150803,0,0,0,90,75
20150804,0.43,0,0,89,69
20150805,0,0,0,87,72
20150806,0,0,0,83,67
20150807,0,0,0,84,69
20150808,0,0,0,82,68
20150809,0,0,0,85,68
20150810,0,0,0,84,70
20150811,1.17,0,0,81,71
20150812,0,0,0,85,71
20150813,0,0,0,83,67
20150814,0,0,0,88,67
20150815,0,0,0,92,73
20150816,0,0,0,93,76
